COMPANY,EVENT,SYSTEM NAME,START DATE,END DATE,APP TYPE,EVENT STATUS,POWERED ON,CLUSTER NAME,ARCHIVED
Wolters Kluwer,NACDS 2015,wolterskluwer:nacds2015,2015-10-22,2015-10-25,AST_3,ACTIVE,2015-05-29,APP100,NO
CGI,Sibos 2015,cgi:sibos2015,2015-10-12,2015-10-15,AST_3,ACTIVE,2015-06-17,APP100,NO
NetApp,Executive Scheduler US 2015,netapp:execschedus2015,2015-10-12,2015-10-15,MPAST,ACTIVE,2015-06-16,APP100,NO
NetApp,NetApp Insight Las Vegas 2015,netapp:execinsightus2015,2015-10-12,2015-10-15,AST_3,ACTIVE,2015-06-16,APP100,NO
Pros,Dreamforce 2015,pros:dreamforce2015,2015-09-15,2015-09-18,AST_3,ACTIVE,2015-07-01,APP100,NO
Adobe,IBC 2015,adobe:ibc2015,2015-09-11,2015-09-15,AST_3,ACTIVE,2015-06-19,APP100,NO
EMC Isilon,IBC 2015,emcisilon:ibc2015,2015-09-10,2015-09-15,AST_3,ACTIVE,2015-05-19,APP100,NO
EMC,VMWorld 2015,emc:vmworld2015,2015-08-30,2015-09-03,AST_3,ACTIVE,2015-06-26,APP100,NO
VCE,VMWorld 2015,vce:vmworld2015,2015-08-30,2015-09-03,AST_3,ACTIVE,2015-06-23,APP100,NO
VMWare,VMWorld 2015,vmware:vmworld2015,2015-08-30,2015-09-03,AST_3,ACTIVE,2015-06-17,APP100,NO
NetApp,NetApp VMworld 2015 | Meet the Executive,netapp:execvmworld2015,2015-08-30,2015-09-02,AST_3,ACTIVE,2015-06-26,APP100,NO
NetApp,NetApp VMworld 2015 | Meet the Engineer,netapp:engvmworld2015,2015-08-30,2015-09-02,MST_2,ACTIVE,2015-06-26,APP100,NO
Ariba,SuccessConnect 2015,ariba:successconnect2015,2015-08-10,2015-08-12,MST_2,ACTIVE,2015-06-30,APP100,NO
Blue Coat,Black Hat USA ,bluecoat:blackhat2015,2015-08-05,2015-08-06,AST_3,ACTIVE,2015-06-29,APP100,NO
FireEye,Black Hat USA ,fireeye:blackhatusa2015,2015-08-01,2015-08-06,AST_3,ACTIVE,2015-06-25,APP100,NO
ARM,APM 2015,arm:apm2015,2015-08-03,2015-08-06,AST_3,ACTIVE,2015-04-27,APP100,NO
Sage,Sage Summit 2015,sage:sagesummit2015,2015-07-27,2015-07-30,AST_3,ACTIVE,2015-06-17,APP100,NO
Amadeus,Global Business Travel Association (GBTA) Convention 2015,amadeus:gbta2015,2015-07-25,2015-07-29,AST_3,ACTIVE,2015-06-12,APP100,NO
NetApp,Microsoft Worldwide Partner Conference 2015,netapp:mwpc2015,2015-07-12,2015-07-16,AST_3,ACTIVE,2015-06-23,APP100,NO
Fujitsu,Microsoft Worldwide Partner Conference 2015,fujitsu:microsoft2015,2015-07-11,2015-07-16,AST_3,ACTIVE,2015-06-11,APP100,NO
Cisco,Microsoft Worldwide Partner Conference 2015,cisco:msft2015,2015-07-12,2015-07-16,AST_3,ACTIVE,2015-06-04,APP100,NO
CEMA,Summit 2015,cema:summit2015,2015-07-12,2015-07-14,AST_3,ACTIVE,2015-05-22,APP100,NO
Dell,Red Hat Summit 2015,dell:redhat2015,2015-06-23,2015-06-26,AST_3,PASSIVE,2015-05-21,APP100,NO
Cisco,Red Hat Summit 2015,cisco:redhat2015,2015-06-23,2015-06-26,AST_3,PASSIVE,2015-05-20,APP100,NO
